,"Kaava-alueet yhteensä, ha",asuinrakennusalueet,yleisten rakennusten alueet,teollisuus- ja varastoalueet,puisto- ja urheilualueet,muut alueet,"Kaava-alueiden ulkopuolella yhteensä, ha",rakennetut alueet ,maa- ja metsätalousalueet,urheilualueet ja uimarannat,Kunnan maanomistus yhteensä,Kunnan maapinta-ala,Kunnan maanomistus kunnan maapinta-alasta %
2011,542,10,44,11,339,138,2650,294,2327,29,3192,65900,"4,8"
2012,559,16,43,9,348,143,2657,286,2342,29,3216,65900,"4,9"
2013,562,17,44,8,362,131,2674,303,2342,29,3236,65901,"4,9"
2014,626,21,45,13,413,134,2663,303,2331,29,3289,65902,"5,0"
2015,627,19,45,6,418,139,2686,312,2345,29,3313,65903,"5,0"
2016,630,20,49,4,418,139,2949,312,2338,29,3579,65904,"5,4"
2017,758,22,49,71,457,159,2934,312,2593,29,3692,65905,"5,6"
2018,1048,69,69,40,485,385,2685,312,2344,29,3733,65906,"5,7"
2019,1109,84,72,42,502,409,2629,312,2288,29,3738,65907,"5,7"
2020,1144,89,52,41,609,353,2626,40,2521,65,3770,65908,"5,7"
2021,1163,56,63,74,628,342,2969,83,2820,64,4132,65909,"5,7"
