ika,miehet,naiset
0,1,1
1,1,0
2,1,4
3,2,3
4,1,2
5,4,1
6,0,1
7,4,2
8,4,3
9,2,2
10,5,2
11,4,3
12,2,3
13,3,2
14,3,1
15,3,4
16,4,4
17,1,2
18,2,3
19,5,1
20,5,0
21,2,0
22,0,2
23,1,0
24,0,2
25,3,0
26,2,0
27,1,0
28,1,0
29,3,1
30,0,0
31,1,1
32,0,2
33,1,0
34,0,3
35,2,0
36,2,2
37,1,3
38,4,4
39,5,0
40,2,0
41,4,1
42,1,5
43,2,3
44,2,2
45,2,3
46,4,4
47,2,4
48,4,5
49,3,3
50,2,2
51,5,4
52,3,3
53,1,2
54,2,6
55,3,3
56,5,1
57,2,3
58,4,2
59,1,1
60,3,3
61,1,1
62,3,1
63,3,2
64,5,2
65,2,6
66,0,1
67,2,1
68,3,2
69,4,1
70,2,1
71,1,4
72,3,0
73,3,1
74,3,1
75,0,5
76,1,1
77,2,1
78,1,0
79,1,0
80,0,2
81,0,1
82,1,1
83,0,0
84,0,0
85,2,1
86,2,1
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100-,0,0
